text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"@JordanBill9 Tutto ciò invoglia al possesso di armi. E instilla il menefreghismo per un'eventuale morte.

Questo ti… https://t.co/HmCdLwHmHk",FALSE,0,MyWay5,2019-03-08T21:10:03Z,TRUE,1104126478638297089,1104127161424924672,81366871,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MyWay5,0,FALSE,FALSE,NA,NA
"@bcbs_companies How did BCBS determine that a member should only be allowed access to Tamiflu every 90 days.  What,… https://t.co/7NjrhrBht4",FALSE,0,bcbs_companies,2019-03-08T21:09:42Z,TRUE,NA,1104127073793294337,90972716,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",lfhowelton,0,FALSE,FALSE,NA,NA
#propagandalive Venerdì sera a casa con l’influenza. Il lato positivo é che posso finalmente guardarvi in diretta.,FALSE,1,NA,2019-03-08T21:09:04Z,FALSE,NA,1104126911423414273,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",andateacagare1,0,FALSE,FALSE,NA,NA
"Questa cazzo di febbre non vuole passare, sono 5 giorni ormai. La tonsilla sinistra non si decide a sgonfiarsi, in… https://t.co/0rO5oDhJnL",FALSE,0,NA,2019-03-08T21:01:27Z,TRUE,NA,1104124995616284678,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",aly223,0,FALSE,FALSE,NA,NA
@ALGhammer @OttawaPolitico My parents are gone now but lived during the depression and second world war. Many Canad… https://t.co/ccqFHdYjwn,FALSE,0,ALGhammer,2019-03-08T21:00:37Z,TRUE,1104036502319874048,1104124785498443778,870756224287027201,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",leighgt,1,FALSE,FALSE,NA,NA
Innate gene signature distinguishes humoral versus cytotoxic responses to influenza vaccinati... https://t.co/jrcmYoVCiB,FALSE,0,NA,2019-03-08T21:00:29Z,FALSE,NA,1104124753483313153,NA,"<a href=""http://davetang.org/muse"" rel=""nofollow"">Transcriptomics feed</a>",transcriptomes,0,FALSE,FALSE,NA,NA
"Friday Flu ""a PCR POC test during the clinic visit improved antiviral prescribing practices compared to having rapi… https://t.co/tZbu77JjeE",FALSE,1,NA,2019-03-08T21:00:16Z,TRUE,NA,1104124698852511744,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",JClinMicro,0,FALSE,FALSE,NA,NA
"A newly identified antibody-mimicking small molecule, which, when administered orally, is capable of protecting mic… https://t.co/ePc7rDkpWG",FALSE,33,NA,2019-03-08T21:00:15Z,TRUE,NA,1104124696210087937,NA,"<a href=""https://twitter.facelift-cloud.com"" rel=""nofollow"">Facelift Cloud</a>",sciencemagazine,19,FALSE,FALSE,NA,NA
Un medicamento oral experimental protege a los ratones de una amplia gama de virus de influenza via… https://t.co/9drw5SxLPU,FALSE,0,NA,2019-03-08T21:00:14Z,TRUE,NA,1104124691684511745,NA,"<a href=""https://twitter.facelift-cloud.com"" rel=""nofollow"">Facelift Cloud</a>",scipak_es,0,FALSE,FALSE,NA,NA
@CottarelliCPI Che le dichiarazioni di Draghi hanno convinto i mercati e che la BCE influenza e come l'andamento dello spread.,FALSE,0,CottarelliCPI,2019-03-08T20:55:29Z,FALSE,1104066750138773506,1104123495284424706,940499085886480384,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",djnutria57,0,FALSE,FALSE,NA,NA
